name,homepage_url,results_url
Brookstone (online,https://www.brookstone.com,https://www.brookstone.com/pages/career-opportunities-at-brookstone-airport-stores-across-the-usa?srsltid=AfmBOorconCmTUpp8nbb0eiVy6BJrdO8QVzBiu9Mb6PQPsyoktHwW1mv
Buehler's Fresh Foods,https://www.buehlers.com,https://jobs.dayforcehcm.com/en-US/ehfamily/CANDIDATEPORTAL?searchText=data
Build-A-Bear Workshop,https://www.buildabear.com,https://www.buildabear.com/search?q=data+scientist&search-button=&lang=en_US&brand=buildABear
Build.com,https://www.build.com,https://recruiting.ultipro.com/HMA1000HMGBC/JobBoard/9334dd34-f314-4e22-99fd-71bf2f37a2bf/?q=data&o=relevance&w=&wc=&we=&wpst=
"Burberry""",https://us.burberry.com,https://burberrycareers.com/search/?createNewAlert=false&q=data&locationsearch=
Cabela's,https://www.cabelas.com,https://careers.basspro.com/us/en/search-results?keywords=data%20scientist
"Calvin Klein (PVH""",https://www.calvinklein.us,https://careers.pvh.com/jobs/search?page=1&country_codes%5B%5D=US&query=data
Camping World,https://www.campingworld.com,https://www.campingworldjobs.com/us/en/search-results?keywords=data%20scientist
"Canada Goose""",https://www.canadagoose.com/us,https://canadagoose.wd3.myworkdayjobs.com/CanadaGooseCareers?q=data
Cardenas Markets,https://www.cardenasmarkets.com,https://myjobs.adp.com/heritagecareersite/cx/job-listing?keyword=data%20scientist
Carhartt,https://www.carhartt.com,https://jobs.dayforcehcm.com/en-US/carhartt/CANDIDATEPORTAL?searchText=data+scientist
"CarMax""",https://www.carmax.com,https://careers.carmax.com/us/en/search-results?m=3&keywords=data
Carter's,https://www.carters.com,https://careers.carters.com/jobs?keyword=data%20scientist
"Carvana""",https://www.carvana.com,https://www.carvana.com/careers/jobs/-in-/-title-data/#table-top
Casey's,https://www.caseys.com,https://myjobs.adp.com/caseysstoresupportcenter/cx/job-listing?keyword=data%20scientist
Casper,https://www.casper.com,https://casper.com/pages/corporate-jobs
"CB2 (Crate & Barrel""",https://www.cb2.com,"https://jobs.cb2.com/search-jobs/data/7614/1?fl=6252001,6251999"
Central Co-op,https://www.centralcoop.coop,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=AE9ADF4FC2C16D100F196A245A7789C5
Central Market,https://www.centralmarket.com,https://careers-centralmarket.icims.com/jobs/search?ss=1&searchKeyword=data+scientist&searchRelation=keyword_all
Champs Sports,https://www.champssports.com,https://careers.footlocker.com/jobs?keywords=data%20scientist
"Chanel""",https://www.chanel.com/us/,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=03dbe20f-c626-4f36-b575-b5490a2d26d1&ccId=19000101_000001&type=MP&lang=en_US
Chewy,https://www.chewy.com,https://careers.chewy.com/us/en/search-results?keywords=data%20scientist
Chico's,https://www.chicos.com,https://jobs.chicos.com/jobs/?search_term=data
Circle K,https://www.circlek.com,https://workwithus.circlek.com/global/en/search-results?keywords=data
City Market,https://www.citymarket.com,https://www.krogerfamilycareers.com/en/sites/CX_2001/jobs?keyword=data+scientist&mode=location
Clarks,https://www.clarksusa.com,https://jobs.dayforcehcm.com/en-US/clarks/CANDIDATEPORTAL?searchText=data+scientist
Coach,https://www.coach.com,https://careers.tapestry.com/search/?createNewAlert=false&q=data+scientsit&locationsearch=
Coborn's,https://www.coborns.com,https://careers.cobornsinc.com/careers-home/jobs?keywords=data%20scientsit
Converse,https://www.converse.com,https://careers.converse.com/jobs?keyword=data%20scientist
"Cost Plus World Market""",https://www.worldmarket.com,https://worldmarket.wd5.myworkdayjobs.com/cost_plus_world_market_careers?q=data
Costco,https://www.costco.com,https://careers.costco.com/jobs?keywords=data&sortBy=relevance&page=1
Cotton On,https://cottonon.com/US,https://ekxm.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs?keyword=data+scientist&mode=location
"Cox Communications Stores""",https://www.cox.com/residential/store-locator.html,https://jobs.coxenterprises.com/en/jobs/?search=DATA+SCIENTIST&location=&lat=&lng=&req=&pagesize=20&showmap=false#results
"Crate & Barrel""",https://www.crateandbarrel.com,"https://jobs.crateandbarrel.com/search-jobs/data/351/1?fl=6252001,6251999"
Cricket Wireless,https://www.cricketwireless.com,https://www.att.jobs/search-jobs/data%20scientist/117/1
"Crutchfield""",https://www.crutchfield.com,https://www.crutchfield.com/S-YsqXa2vBBIh/about/careers.aspx
"Cumberland Farms""",https://www.cumberlandfarms.com,https://www.indeed.com/cmp/Cumberland-Farms/jobs?q=data&l=#cmp-skip-header-desktop
CVS Pharmacy,https://www.cvs.com,https://jobs.cvshealth.com/us/en/search-results?keywords=data%20scientist
D&W Fresh Market,https://www.shopdwfreshmarket.com,https://careers.spartannash.com/current-job-openings/?search=data+scientist&mylocation=&radius=15&lat=&lng=&segment=Corporate&pagesize=20#results
"DECIEM (The Ordinary""",https://theordinary.com,https://deciem-prod-atlanta.us.careers.hr/
"Deckers (Corporate""",https://www.deckers.com,https://deckers.wd5.myworkdayjobs.com/Deckers?q=data&locationCountry=a30a87ed25634629aa6c3958aa2b91ea&locationCountry=bc33aa3152ec42d4995f4791a106ed09
Dell,https://www.dell.com,https://jobs.dell.com/en/search-jobs/data/375/1
Dick's Sporting Goods,https://www.dickssportinggoods.com,https://www.dickssportinggoods.jobs/jobs/?keyword=data+scientist&filter%5Bjob_type%5D=&searchlocation=&search-btn=
Dierbergs,https://www.dierbergs.com,https://careers.dierbergs.com/search/searchjobs?keyword=data+scientist&radius=25
Dillard's,https://www.dillards.com,https://careers.dillards.com/Careers/Corporate
Dillons,https://www.dillons.com,https://www.krogerfamilycareers.com/en/sites/CX_2001/jobs?keyword=data&mode=location
Discount Drug Mart,https://www.discount-drugmart.com,"https://www.indeed.com/cmp/Discount-Drug-Mart,-Inc.?from=mobviewjob&tk=1j4488ljug0i880d&fromjk=b1ad84ea2aade9be&attributionid=mobvjcmp"
Discount Tire,https://www.discounttire.com,https://careers.discounttire.com/?keyword=data%20scientist
Do it Best,https://www.doitbest.com,https://www.doitbestcareers.com/openings/
Dollar General,https://www.dollargeneral.com,https://careers.dollargeneral.com/jobs?keywords=data&sortBy=relevance&page=1
Dollar Tree,https://www.dollartree.com,https://careers.dollartree.com/us/en/search-results?keywords=data
"Dover Saddlery""",https://www.doversaddlery.com,https://www.doversaddlery.com/employment-opportunities/a/4-dovr/
Dr. Martens,https://www.drmartens.com/us,https://jobs.drmartens.com/en-US/results?country[0]=US
DSW,https://www.dsw.com,https://careers.dswinc.com/search/?searchby=location&createNewAlert=false&q=data+scientist&locationsearch=&geolocation=
Duane Reade,https://www.walgreens.com/duanereade,https://jobs.walgreens.com/en/search-jobs/data%20scientist/1242/1
Duluth Trading,https://www.duluthtrading.com,https://careers-duluthtrading.icims.com/jobs/search?ss=1&searchKeyword=data&searchRelation=keyword_all
"e.l.f. Cosmetics""",https://www.elfcosmetics.com,https://www.elfbeauty.com/work-with-us?country=US#careers-feed
eBay,https://www.ebay.com,https://jobs.ebayinc.com/us/en/search-results?keywords=data
Eddie Bauer,https://www.eddiebauer.com,https://jobs.dayforcehcm.com/en-US/aeropostale/EddieBauerCorporate?searchText=data+scientist
Edible Arrangements,https://www.ediblearrangements.com,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=3496665c-85f2-452a-8263-0aeb92099601&ccid=19000101_000001&lang=en_US&ccId=9203671254918_2&lang=en_US
El Super,https://elsupermarkets.com,https://chedrauiusa.csod.com/ux/ats/careersite/16/home?c=chedrauiusa&sq=data
Erewhon Market,https://erewhonmarket.com,https://nowhere-partners-corp.iconnecthire.com/
Ethan Allen,https://www.ethanallen.com,https://jobs.dayforcehcm.com/en-US/eth/CANDIDATEPORTAL?searchText=data+scientist
Etsy,https://www.etsy.com,http://careers.etsy.com/jobs/search?query=data
"Express""",https://www.express.com,https://careers.express.com/search/searchjobs?keyword=data
"Eyemart Express""",https://www.eyemartexpress.com,https://eyemartexpress.com/pages/careers#inlineframe
Fairway Market,https://www.fairwaymarket.com,https://cta.cadienttalent.com/index.jsp?seq=allOpenJobs&applicationName=FairwayMarketNonReqExt&locale=en_US&allOpenJobs=true
Family Dollar,https://www.familydollar.com,https://careers.familydollar.com/us/en/search-results?keywords=data
"Famous Footwear (Caleres""",https://www.famousfootwear.com,https://jobs.dayforcehcm.com/en-US/caleres/candidateportal?searchText=data
Fanatics,https://www.fanatics.com,https://fa-exki-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=data&mode=location
FAO Schwarz,https://faoschwarz.com,https://www.indeed.com/cmp/Fao-Schwarz/jobs
"Fastenal""",https://www.fastenal.com,https://jobs.fastenal.com/jobs?query=data%20scientist
Fiesta Mart,https://www.fiestamart.com,https://chedrauiusa.csod.com/ux/ats/careersite/20/home?c=chedrauiusa&sq=data%20scientist
Finish Line,https://www.finishline.com,https://finishline.wd1.myworkdayjobs.com/Corporate_Careers?q=data%20scientist
Firestone Complete Auto Care,https://www.firestonecompleteautocare.com,https://www.bebridgestone.com/jobs/?search=data&pagesize=20#results
Five Below,https://www.fivebelow.com,https://careers.fivebelow.com/us/en/search-results?keywords=data%20scientist
Fleet Farm,https://www.fleetfarm.com,https://careers.fleetfarm.com/us/en/search-results?keywords=data
Floor & Decor,https://www.flooranddecor.com,https://careers.flooranddecor.com/home
Food 4 Less,https://www.food4less.com,https://www.krogerfamilycareers.com/en/sites/CX_2001/jobs?keyword=data&mode=location
Food City (AZ,https://www.myfoodcity.com,https://fa-epss-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=data&mode=location
Food City (KVAT,https://www.foodcity.com,https://foodcitycareers.com/?keywordsFilter=data%20scientist
Food Lion,https://www.foodlion.com,https://foodlion.careerswithus.com/search-page?v=foodlionrms
Foodland (Hawaii,https://www.foodland.com,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=98811CABFB893D131346C639D2E2EE31&jpt=
FoodMaxx,https://www.foodmaxx.com,http://savemart.csod.com/ux/ats/careersite/27/home?c=savemart&cfdd[0][id]=175&cfdd[0][options][0]=134&cfdd[0][options][1]=135&cfdd[0][options][2]=136&cfdd[0][options][3]=137
Foot Locker,https://www.footlocker.com,https://careers.footlocker.com/jobs?keywords=data&sortBy=relevance&page=1&view=search
Forest Hills Foods,https://www.foresthillsfoods.com,https://careers.flooranddecor.com/us/en/search-results?keywords=data%20scientist
Forever 21,https://www.forever21.com,http://indeed.com/q-forever-21-jobs.html?vjk=779d221e843b7c0e
Foxtrot Market,https://foxtrotco.com,https://recruiting.paylocity.com/recruiting/jobs/All/e4d6af10-aa3e-4725-b840-7ba43d33ed90/312716?search=data&location=All%20Locations&department=All%20Departments
Fred Meyer,https://www.fredmeyer.com,https://www.krogerfamilycareers.com/en/sites/CX_2001/jobs?keyword=data&mode=location
Free People,https://www.freepeople.com,https://hub-urbn.icims.com/jobs/search?ss=1&searchKeyword=data+scientist&searchRelation=keyword_all
Funko,https://funko.com,https://funko.com/careers-pages/careers-landing.html#jobs
Games Workshop (Warhammer),https://www.warhammer.com/en-us,https://jobs.games-workshop.com/search-and-apply?_country=united-states
GameStop,https://www.gamestop.com/collectibles,https://gamestop.wd5.myworkdayjobs.com/en-US/careers?q=data%20scientist
Gander Outdoors,https://www.ganderoutdoors.com,https://www.campingworldjobs.com/us/en/search-results?keywords=data
Gap,https://www.gap.com,https://www.gap.com/careers
Garmin,https://www.garmin.com/en-US/,https://careers.garmin.com/jobs?keywords=data&sortBy=relevance&page=1
Gelson's Markets,https://www.gelsons.com,http://gelsonsmarket.rec.pro.ukg.net/GEL1500GELM/JobBoard/449dda3f-7fa8-419d-8933-36ddfc56688c/?q=data+scientist&o=relevance&w=&wc=&we=&wpst=
Gerbes,https://www.gerbes.com,https://www.krogerfamilycareers.com/en/sites/CX_2001/jobs?keyword=data&mode=location
Giant (PA,https://giantfood.com,https://thegiantcompany.careerswithus.com/search-page?v=giantcompanyrms&keyword=%22Carlisle-1149%20Harrisburg%20Pike%22
Giant Eagle,https://www.gianteagle.com,https://jobs.gianteagle.com/us/en/search-results?keywords=data
Giant Food (DC,https://giantfood.com,https://giantfood.careerswithus.com/search-page?v=giantfoodrms
